Team Name,Top Run Getter,Runs,Top Wicket Taker,Wickets
India,Virat Kohli,765,Mohammed Shami,24
South Africa,Quinton de Kock,594,Gerald Coetzee,20
Australia,David Warner,535,Adam Zampa,23
New Zealand,Rachin Ravindra,578,Mitchell Santner,16
Pakistan,Mohammad Rizwan,395,Shaheen Shah Afridi,18
Afghanistan,Ibrahim Zadran,376,Rashid Khan,11
England,Dawid Malan,404,Adil Rashid,15
Bangladesh,Mahmudullah,328,Mehidy Hasan Miraz,10
Sri Lanka,Sadeera Samarawickrama,373,Dilshan Madhushanka,21
Netherlands,Sybrand Engelbrecht ,300,Bas de Leede,16
